"","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z-score","Cofficient_P","Cofficient_P_FDR"
"50","UTR_5_UCSCL2_0",0.00546017980731599,0.0151309330444703,0.00649654995630849,2.77114189979543,1.18980513198556,0.138051512070453,8.2286491930237e-10,2.28820700981228e-08,0.0359611222137579,0.97131335886815,0.985022478327801
"51","UTR_5_UCSC.flanking.500L2_0",0.021387283915762,0.0381549015370556,0.0112246806439057,1.78399939362736,0.524829645882865,0.137129897284678,1.10882952046722e-08,1.01783649267587e-08,1.08939847258977,0.27597820468063,0.438850587770838
"52","WeakEnhancer_HoffmanL2_0",0.0209056661632411,0.045205653203825,0.016662454271501,2.16236367934121,0.797030534276825,0.145982590068412,1.90549608197759e-08,1.53840835056295e-08,1.23861527485879,0.21548800855911,0.373256014825601
"53","WeakEnhancer_Hoffman.flanking.500L2_0",0.0678186909626131,0.102032278774275,0.0232625585136928,1.50448611328289,0.343011022234519,0.141489979256329,1.05434236567009e-08,7.60390631547762e-09,1.3865798997602,0.165569900963144,0.334326154371076
"54","GERP.NSL2_0",1.74531625628506,3.24877414273285,0.0911205902331723,1.86142432985064,0.0522086412161909,2.66770536178031e-38,9.21176689720397e-09,1.05468628367955e-09,8.73412979740882,2.45539036877196e-18,7.939095525696e-17
"55","GERP.RSsup4L2_0",0.0081499252074974,0.0908721664919344,0.0161139123082952,11.1500614028136,1.97718529901004,8.36941416826615e-07,7.9611373873197e-08,4.23917803276836e-08,1.87799080995915,0.0603824222979059,0.162697082302691
"56","MAFbin1L2_0",0.102357276496064,0.0587353199735828,0.0076475962643437,0.573826522004436,0.07471472987695,1.62123985763501e-08,8.69850393244923e-09,1.64719030589888e-09,5.28081297060719,1.28611926795835e-07,1.039613074933e-06
"57","MAFbin2L2_0",0.0998554140226758,0.0516166897859625,0.00795347002928854,0.516914283428248,0.0796498628254891,4.53110420678797e-09,7.67605250741124e-09,1.57379414933801e-09,4.87741837815323,1.07483300999826e-06,7.83676272831843e-06
"58","MAFbin3L2_0",0.0996066368972879,0.0558718849469646,0.00956714752077812,0.560925322723007,0.0960492977053682,8.87580178620901e-06,8.69417459610899e-09,1.84742165679552e-09,4.7061127404935,2.52484922727924e-06,1.63273583364057e-05
"59","MAFbin4L2_0",0.100695686862236,0.0872870208664184,0.0103946847395845,0.866839718625066,0.103228698899544,0.198609065807463,1.48095011725232e-08,2.10783377731633e-09,7.02593408071221,2.1263883985599e-12,2.94656678086158e-11
"60","MAFbin5L2_0",0.098317122559556,0.0964605234184218,0.0113888675514117,0.981116217676026,0.115838088574174,0.870558297403869,1.67620071157853e-08,2.42600387432852e-09,6.9093076450361,4.87024750072762e-12,5.90517509463224e-11
"61","MAFbin6L2_0",0.0996422004512881,0.0983099946585389,0.012117482824123,0.986630104647273,0.121609948086673,0.912481007212652,1.67441875976509e-08,2.52664011493761e-09,6.62705681693981,3.42445852426026e-11,3.33396486251075e-10
"62","MAFbin7L2_0",0.0997337933780998,0.109734190633856,0.0112224305190787,1.10027090033409,0.112523851133722,0.372721067673066,1.91152612106295e-08,2.21187749349504e-09,8.64209761473948,5.51902435077381e-18,1.33836340506265e-16
"63","MAFbin8L2_0",0.100229334597517,0.152644352144274,0.0141847347563798,1.52295086819877,0.14152278685018,0.000265286749002283,2.71187767273424e-08,2.76314504908808e-09,9.8144600611149,9.75588547580881e-23,9.46320891153455e-21
"64","MAFbin9L2_0",0.101099970660068,0.141643494566189,0.0131304946864564,1.40102409171257,0.129876345173289,0.00232914356316612,2.4549048108245e-08,2.7263248913223e-09,9.00444704385121,2.16755338292958e-19,1.05126339072085e-17
"65","MAFbin10L2_0",0.0984625640752075,0.147696529005793,0.0155995785240753,1.50002724784802,0.158431569100314,0.00165436482719355,2.63791141353106e-08,3.15148156673309e-09,8.37038503215991,5.74302697192894e-17,9.28456027128512e-16
"66","MAF_Adj_Predicted_Allele_AgeL2_0",3.39243741661591e-06,-0.396657366169287,0.0438983187515443,-116924.004029223,12940.0526407749,7.4142864369361e-15,-4.42901733604347e-09,1.13479141775073e-09,-3.90293517096052,9.50331634606582e-05,0.000542248050334344
"67","MAF_Adj_LLD_AFRL2_0",0.00279647423847108,-0.338861295646223,0.0297605585709666,-121.174474266385,10.6421715464247,1.71958750061845e-21,-3.29884589500819e-09,9.32583466223105e-10,-3.53731973007014,0.000404210015895878,0.0021782428634389
"68","Recomb_Rate_10kbL2_0",1.55242444208886,1.33495597360971,0.0801503498320786,0.859916874159404,0.0516291470676875,0.00579237388846639,-1.43939975005653e-09,2.95725899033674e-10,-4.86734423586157,1.13107915666452e-06,7.83676272831843e-06
"69","Nucleotide_Diversity_10kbL2_0",4.60869534067855,3.56616149453064,0.0754752910642548,0.773789810546598,0.0163767152057273,3.5255962614464e-29,-7.13949807350131e-10,3.00773859208452e-10,-2.37370963430478,0.0176103931666725,0.0610382541834542
